NodeID,PaperTitle,Type,Authors,PublicationYear,DOI
10.3115/v1/P15-1009,Semantically Smooth Knowledge Graph Embedding,ReferenceOfReference,"['Shu Guo', 'Quan Wang', 'Bin Wang', 'Lihong Wang', 'Li Guo']",2015,10.3115/v1/P15-1009
10.3115/v1/P15-1067,Knowledge Graph Embedding via Dynamic Mapping Matrix,ReferenceOfReference,"['Guoliang Ji', 'Shizhu He', 'Liheng Xu', 'Kang Liu', 'Jun Zhao']",2015,10.3115/v1/P15-1067
10.1109/TKDE.2014.2382599,A Unified Feature Selection Framework for Graph Embedding on High Dimensional Data,ReferenceOfReference,"['Marcus Chen', 'I. Tsang', 'Mingkui Tan', 'Tat-Jen Cham']",2015,10.1109/TKDE.2014.2382599
10.1162/tacl_a_00134,Improving Distributional Similarity with Lessons Learned from Word Embeddings,ReferenceOfReference,"['Omer Levy', 'Yoav Goldberg', 'Ido Dagan']",2015,10.1162/tacl_a_00134
10.1145/2736277.2741093,LINE: Large-scale Information Network Embedding,ReferenceOfReference,"['Jian Tang', 'Meng Qu', 'Mingzhe Wang', 'Ming Zhang', 'Jun Yan', 'Qiaozhu Mei']",2015,10.1145/2736277.2741093
10.1609/aaai.v29i1.9491,Learning Entity and Relation Embeddings for Knowledge Graph Completion,ReferenceOfReference,"['Yankai Lin', 'Zhiyuan Liu', 'Maosong Sun', 'Yang Liu', 'Xuan Zhu']",2015,10.1609/aaai.v29i1.9491
10.1609/aaai.v29i1.9391,Structured Embedding via Pairwise Relations and Long-Range Interactions in Knowledge Base,ReferenceOfReference,"['Fei Wu', 'Jun Song', 'Yi Yang', 'Xi Li', 'Zhongfei Zhang', 'Yueting Zhuang']",2015,10.1609/aaai.v29i1.9391
10.1109/ICDM.2014.119,Probabilistic Latent Document Network Embedding,ReferenceOfReference,"['Tuan M. V. Le', 'Hady W. Lauw']",2014,10.1109/ICDM.2014.119
10.5555/2685048.2685096,GraphX: Graph Processing in a Distributed Dataflow Framework,ReferenceOfReference,"['Joseph E. Gonzalez', 'Reynold Xin', 'Ankur Dave', 'D. Crankshaw', 'M. Franklin', 'Ion Stoica']",2014,10.5555/2685048.2685096
10.3115/v1/W14-4012,On the Properties of Neural Machine Translation: Encoder–Decoder Approaches,ReferenceOfReference,"['Kyunghyun Cho', 'B. V. Merrienboer', 'Dzmitry Bahdanau', 'Yoshua Bengio']",2014,10.3115/v1/W14-4012
10.1609/aaai.v28i1.8954,Signed Laplacian Embedding for Supervised Dimension Reduction,ReferenceOfReference,"['Chen Gong', 'D. Tao', 'Jie Yang', 'Keren Fu']",2014,10.1609/aaai.v28i1.8954
